,City,Cloudyness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Barrow,0,AR,1538943705,30,-38.31,-60.23,81.79,18.16
1,Chuy,0,UY,1538943705,82,-33.69,-53.46,68.02,10.33
2,Rikitea,100,PF,1538943705,100,-23.12,-134.97,67.66,6.87
3,Batemans Bay,48,AU,1538943705,99,-35.71,150.18,56.41,8.77
4,Hermanus,0,ZA,1538943706,83,-34.42,19.24,60.01,4.97
5,Severo-Kurilsk,8,RU,1538943706,93,50.68,156.12,46.06,13.47
6,Albany,90,US,1538943060,77,42.65,-73.75,71.96,10.29
7,Cape Town,0,ZA,1538942400,82,-33.93,18.42,64.4,10.29
8,Panaba,68,MX,1538943706,81,21.28,-88.27,80.08,11.01
9,Ushuaia,40,AR,1538938800,60,-54.81,-68.31,41.0,28.86
10,Atuona,48,PF,1538943969,100,-9.8,-139.03,79.81,8.88
11,Guerrero Negro,64,MX,1538943969,82,27.97,-114.04,70.54,11.12
12,Amasya,0,TR,1538941800,53,40.65,35.83,50.0,2.06
13,Katobu,8,ID,1538943969,100,-4.94,122.53,77.02,3.96
14,Port Alfred,0,ZA,1538943969,88,-33.59,26.89,69.28,18.84
15,Chokurdakh,80,RU,1538943970,89,70.62,147.9,24.28,7.09
16,Gasa,88,BT,1538943970,72,27.91,89.73,19.24,1.61
17,Rawson,92,AR,1538943970,27,-43.3,-65.11,71.17,18.16
18,Juneau,90,US,1538942460,96,58.3,-134.42,48.02,3.36
19,Ponta do Sol,80,BR,1538943970,94,-20.63,-46.0,69.19,5.75
20,Cidreira,8,BR,1538943971,75,-30.17,-50.22,70.72,11.45
21,Bambous Virieux,20,MU,1538942400,83,-20.34,57.76,69.8,4.7
22,Mujiayingzi,0,CN,1538943971,65,42.12,118.78,27.52,4.07
23,Bluff,0,AU,1538943971,89,-23.58,149.07,65.59,6.64
24,Yellowknife,20,CA,1538942400,54,62.45,-114.38,30.2,2.24
25,Nuuk,12,GL,1538941800,100,64.17,-51.74,32.0,6.93
26,Saskylakh,44,RU,1538943972,92,71.97,114.09,34.99,16.6
27,Luderitz,76,NA,1538943972,65,-26.65,15.16,66.22,10.67
28,Punta Arenas,40,CL,1538938800,91,-53.16,-70.91,42.8,24.16
29,Laguna,20,MX,1538941560,35,27.52,-110.01,87.8,13.87
30,Jamestown,32,AU,1538943973,42,-33.21,138.6,63.52,14.7
31,Aykhal,0,RU,1538943973,73,65.95,111.51,26.62,2.62
32,Hobart,0,AU,1538942400,76,-42.88,147.33,51.8,8.05
33,Bethel,90,US,1538941980,100,60.79,-161.76,46.04,8.05
34,Lahat,20,ID,1538943974,68,-3.78,103.55,77.65,4.41
35,Busselton,100,AU,1538943975,100,-33.64,115.35,57.49,13.02
36,Port Elizabeth,40,US,1538942160,74,39.31,-74.98,82.04,3.36
37,Goderich,64,CA,1538943918,86,43.74,-81.71,59.83,8.77
38,Green River,90,US,1538942040,85,41.53,-109.47,37.04,27.51
39,Abha,0,SA,1538938800,20,18.22,42.5,68.0,6.93
40,Tiznit,8,MA,1538943976,90,29.7,-9.73,68.38,3.29
41,Tura,0,IN,1538943976,92,25.52,90.21,67.21,2.17
42,Kapaa,75,US,1538942160,74,22.08,-159.32,84.92,11.41
43,Mataura,8,NZ,1538943996,82,-46.19,168.86,46.78,7.43
44,Kangaatsiaq,80,GL,1538943997,100,68.31,-53.46,33.19,8.99
45,Nanortalik,0,GL,1538943997,96,60.14,-45.24,36.34,23.42
46,Nhulunbuy,0,AU,1538942400,94,-12.18,136.78,71.6,12.24
47,Cockburn Town,92,TC,1538943997,100,21.46,-71.14,79.9,16.37
48,Saldanha,0,PT,1538943998,53,41.42,-6.55,53.26,10.22
49,Bitkine,0,TD,1538943998,70,11.98,18.21,76.3,3.62
50,Haicheng,0,CN,1538943998,68,40.85,122.74,33.82,2.62
51,Qaanaaq,12,GL,1538943998,100,77.48,-69.36,18.34,15.82
52,Mackay,90,CA,1538942640,86,53.65,-115.58,33.8,8.05
53,Santiago del Estero,32,AR,1538943942,29,-27.8,-64.26,90.79,12.68
54,Kawalu,80,ID,1538943999,100,-7.38,108.21,67.03,2.17
55,East London,12,ZA,1538943999,100,-33.02,27.91,69.73,25.77
56,Hami,0,CN,1538943999,54,42.84,93.51,39.31,8.66
57,San Cristobal,75,EC,1538942400,82,-0.39,-78.55,57.2,10.29
58,Subang,75,MY,1538942400,88,3.15,101.53,77.0,3.36
59,Tasiilaq,92,GL,1538941800,55,65.61,-37.64,37.4,8.05
60,Baykit,24,RU,1538944000,85,61.68,96.39,32.65,4.41
61,Salina Cruz,44,MX,1538944000,50,16.18,-95.2,89.89,3.18
62,Miraflores,88,CO,1538943736,70,5.2,-73.14,61.81,2.06
63,Ribeira Grande,75,PT,1538942400,83,38.52,-28.7,71.6,6.93
64,Oksfjord,75,NO,1538942280,80,70.24,22.35,41.0,17.22
65,Grindavik,75,IS,1538940600,93,63.84,-22.43,37.4,6.93
66,Flinders,40,AU,1538942400,100,-34.58,150.85,57.2,12.75
67,Deputatskiy,80,RU,1538944002,78,69.3,139.9,8.08,2.73
